0.00000000  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  
0.16380016  -4.0613453842e-29  -1.1804792467e-09  6.5474424901e-06  -1.6513111130e-13  1.1804792467e-09  -4.5082059644e-24  5.1417726997e-03  -1.2990849913e-10  -6.5474424901e-06  -5.1417726997e-03  -4.5082276979e-24  9.4182508282e-10  1.6513111130e-13  1.2990849913e-10  -9.4182508282e-10  0.0000000000e+00  
0.32760033  -7.8400025968e-28  -5.5235911572e-08  6.5443519655e-05  -3.5072300546e-11  5.5235911572e-08  1.0980480405e-23  1.0266979221e-02  -5.2748669262e-09  -6.5443519655e-05  -1.0266979221e-02  1.0980961747e-23  4.8078214459e-08  3.5072300546e-11  5.2748669262e-09  -4.8078214459e-08  0.0000000000e+00  
0.49140049  -9.3846616128e-28  -4.4065133795e-07  2.2884535878e-04  -6.1642198297e-10  4.4065133795e-07  5.8825947349e-23  1.5359171497e-02  -4.1102731741e-08  -2.2884535878e-04  -1.5359171497e-02  5.8821278044e-23  3.9033081808e-07  6.1642198297e-10  4.1102731741e-08  -3.9033081808e-07  0.0000000000e+00  
0.65520066  -7.1183684707e-28  -1.8824714518e-06  5.4852828686e-04  -4.5914925077e-09  1.8824714518e-06  5.7543411800e-22  2.0402004832e-02  -1.7415994962e-07  -5.4852828686e-04  -2.0402004832e-02  5.7547442057e-22  1.6774950653e-06  4.5914925077e-09  1.7415994962e-07  -1.6774950653e-06  0.0000000000e+00  
0.81900082  -7.1183684707e-28  -5.7639999171e-06  1.0756967462e-03  -2.1529491912e-08  5.7639999171e-06  -5.5673835338e-23  2.5379284559e-02  -5.3125000722e-07  -1.0756967462e-03  -2.5379284559e-02  -5.4739024096e-23  5.1492965093e-06  2.1529491912e-08  5.3125000722e-07  -5.1492965093e-06  0.0000000000e+00  
0.98280098  -7.1183684707e-28  -1.4324784856e-05  1.8607965664e-03  -7.5323095125e-08  1.4324784856e-05  5.7561235095e-22  3.0275007147e-02  -1.3175558341e-06  -1.8607965664e-03  -3.0275007147e-02  5.7521406257e-22  1.2810972984e-05  7.5323095125e-08  1.3175558341e-06  -1.2810972984e-05  0.0000000000e+00  
1.14660115  -7.1183684707e-28  -3.0840604737e-05  2.9533283112e-03  -2.1503554073e-07  3.0840604737e-05  4.8463403200e-22  3.5073394094e-02  -2.8331136691e-06  -2.9533283112e-03  -3.5073394094e-02  4.9573057014e-22  2.7591177239e-05  2.1503554073e-07  2.8331136691e-06  -2.7591177239e-05  -1.3425704282e-26  
1.31040131  -7.1183684707e-28  -5.9781389573e-05  4.4016608258e-03  -5.2820379175e-07  5.9781389573e-05  1.0498399893e-21  3.9758917162e-02  -5.4872659747e-06  -4.4016608258e-03  -3.9758917162e-02  1.0870137734e-21  5.3478217242e-05  5.2820379175e-07  5.4872659747e-06  -5.3478217242e-05  -8.1171853113e-26  
1.47420147  -7.1183684707e-28  -1.0694326331e-04  6.2528434274e-03  -1.1548710949e-06  1.0694326331e-04  -3.5288806292e-21  4.4316313677e-02  -9.8107437730e-06  -6.2528434274e-03  -4.4316313677e-02  -3.5074884470e-21  9.5630906147e-05  1.1548710949e-06  9.8107437730e-06  -9.5630906147e-05  1.9529446401e-26  
