0.00000000  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  
0.00963391  0.0000000000e+00  4.1567434179e-11  9.7468462892e-12  0.0000000000e+00  1.1952931266e-11  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  8.1071153962e-11  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  -1.2709623385e-11  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  -1.4425209291e-11  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  
0.01926782  1.7223737478e-22  4.1972984207e-10  9.5170176500e-11  2.0578881008e-19  1.2080794060e-10  -4.0477938459e-19  -1.1957920028e-20  -5.1392135137e-29  8.1335080482e-10  -1.5066631680e-19  5.1062733438e-19  -3.3510469066e-29  -6.4665503513e-19  1.7522356052e-29  -1.0363722386e-28  0.0000000000e+00  -1.3048392028e-10  -1.3431232664e-19  -1.1750094435e-19  -1.3936197483e-29  5.7165934451e-20  3.5181179042e-29  1.7573920112e-29  0.0000000000e+00  -4.1010704995e-19  3.2109895249e-29  -6.0843419344e-29  0.0000000000e+00  8.4713276098e-29  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  -1.3958527236e-10  2.8417602417e-19  -2.9034143036e-20  3.7184655500e-29  1.8623046404e-19  -6.4892994768e-29  1.6140494656e-29  0.0000000000e+00  3.8949209131e-19  -3.3790961447e-30  6.3859013676e-29  0.0000000000e+00  -7.2412511168e-29  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  -8.7573161745e-21  -2.6139261209e-29  -7.3239964551e-30  0.0000000000e+00  -6.1292154330e-30  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  -5.3041731085e-29  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  
0.02890173  4.1304653091e-21  1.4789035242e-09  3.2785859894e-10  2.5809035885e-18  4.2639845513e-10  -5.0281968196e-18  -1.1842996879e-19  -5.6504351773e-27  2.8534900357e-09  -1.8383812835e-18  6.3172829252e-18  -3.5864223950e-27  -7.9985823324e-18  1.8294931379e-27  -1.1244414841e-26  3.3222474548e-36  -4.6445339450e-10  -1.6648619031e-18  -1.4606035728e-18  -1.5352352648e-27  7.2733482615e-19  3.8311476731e-27  1.9140327157e-27  2.6817798774e-36  -5.0769745058e-18  3.4993230884e-27  -6.6099448612e-27  3.8371482789e-36  9.2139258173e-27  -3.5422088323e-36  8.5184006526e-36  -1.0768908144e-45  -4.7614851617e-10  3.5183097228e-18  -3.4205439669e-19  4.0595801864e-27  2.2686209007e-18  -7.0533691572e-27  1.7312237800e-27  -5.8113209953e-36  4.8695035848e-18  -3.9456860008e-28  6.9909906935e-27  -1.4687866232e-36  -7.9650765096e-27  -9.1992213032e-37  -8.2509787273e-36  1.6839315229e-46  -1.5085331660e-19  -2.8259832083e-27  -8.4137611076e-28  -2.0787250550e-36  -5.8804624716e-28  4.1735420536e-36  3.2919282972e-37  8.2476484884e-46  -5.8188582344e-27  1.7920251078e-36  -5.4706156869e-36  5.9132612519e-46  7.0252609414e-36  -3.4904484412e-46  1.7422395570e-45  0.0000000000e+00  
0.03853565  3.5832922961e-20  3.5721621082e-09  7.7462817616e-10  1.5068523853e-17  1.0316765873e-09  -2.9103704367e-17  -5.2601361485e-19  -9.8965225842e-26  6.8640518788e-09  -1.0467266971e-17  3.6433870767e-17  -6.1401526521e-26  -4.6117546345e-17  3.0614268826e-26  -1.9476579367e-25  1.8932173367e-34  -1.1327281500e-09  -9.6197436448e-18  -8.4596558297e-18  -2.6942239570e-26  4.2973126096e-18  6.6581431115e-26  3.3247193459e-26  1.5872131300e-34  -2.9293794341e-17  6.0845287412e-26  -1.1461533242e-25  2.2462404395e-34  1.5990666400e-25  -2.0741780644e-34  4.9881195147e-34  -5.1574684947e-43  -1.1136693600e-09  2.0304759592e-17  -1.8761035468e-18  7.0688642701e-26  1.2891365870e-17  -1.2236437618e-25  2.9656573297e-26  -3.4158585818e-34  2.8360117673e-17  -7.2998255662e-27  1.2207523844e-25  -8.6318564278e-35  -1.3963165475e-25  -5.2950794065e-35  -4.8642570001e-34  7.9614575934e-44  -1.0987467147e-18  -4.8799013783e-26  -1.5291172186e-26  -1.2158694952e-34  -9.0272991564e-27  2.4368212106e-34  2.2002578345e-35  3.9674223436e-43  -1.0174779411e-25  1.0790243714e-34  -3.2221937222e-34  2.8869059704e-43  4.1558716745e-34  -1.7488629809e-43  8.4367279369e-43  -3.6800429802e-52  
0.04816956  1.8352604125e-19  7.0608854294e-09  1.4976233825e-09  5.8857204456e-17  2.0426624503e-09  -1.1274631729e-16  -1.4466488590e-18  -8.3318071822e-25  1.3513314297e-08  -3.9910954027e-17  1.4067258205e-16  -5.0561966024e-25  -1.7800454384e-16  2.4629886044e-25  -1.6224996046e-24  3.5642327656e-33  -2.2601726471e-09  -3.7210287672e-17  -3.2794841524e-17  -2.2728472730e-25  1.6965838756e-17  5.5644182515e-25  2.7772485999e-25  3.0992191173e-33  -1.1314103336e-16  5.0876491229e-25  -9.5577261607e-25  4.3413041021e-33  1.3345411358e-24  -4.0091357400e-33  9.6421800008e-33  -2.8106783462e-41  -2.1306233161e-09  7.8447648814e-17  -6.8747573082e-18  5.9190800406e-25  4.9049377492e-17  -1.0209181680e-24  2.4439046943e-25  -6.6268343380e-33  1.1053183086e-16  -6.4591325407e-26  1.0248923952e-24  -1.6758909425e-33  -1.1766457621e-24  -1.0056908762e-33  -9.4645828994e-33  4.2935822297e-42  -5.0987605170e-18  -4.0529567222e-25  -1.3320523312e-25  -2.3478569331e-33  -6.5803981957e-26  4.6978519249e-33  4.7560453626e-34  2.1710895287e-41  -8.5519177256e-25  2.1411121126e-33  -6.2629899901e-33  1.6016442635e-41  8.1098749790e-33  -9.9244343889e-42  4.6445910309e-41  -6.7143513201e-50  
0.05780347  6.8460995995e-19  1.2314558895e-08  2.5543069874e-09  1.7891420111e-16  3.5684131631e-09  -3.4000937604e-16  -2.6287066250e-18  -4.6013330982e-24  2.3475149930e-08  -1.1849388917e-16  4.2288954702e-16  -2.7322824652e-24  -5.3493056946e-16  1.2994216039e-24  -8.8700595671e-24  3.6171648154e-32  -3.9783386381e-09  -1.1206383221e-16  -9.8972735248e-17  -1.2578408998e-24  5.2088783292e-17  3.0515621094e-24  1.5223378360e-24  3.2608933791e-32  -3.4019880466e-16  2.7915639838e-24  -5.2301325708e-24  4.5231277455e-32  7.3084203573e-24  -4.1771184372e-32  1.0047057838e-31  -6.0558206009e-40  -3.5943259956e-09  2.3597786473e-16  -1.9564605432e-17  3.2523082891e-24  1.4530336959e-16  -5.5896676589e-24  1.3217361535e-24  -6.9294427778e-32  3.3531770015e-16  -3.7355408830e-25  5.6456247868e-24  -1.7543782045e-32  -6.5045668115e-24  -1.0294195054e-32  -9.9254323054e-32  9.1451899523e-41  -1.7859878697e-17  -2.2090846178e-24  -7.5957961557e-25  -2.4440340254e-32  -3.0916194509e-25  4.8825795030e-32  5.4666310071e-33  4.6971645665e-40  -4.7150336217e-24  2.2875823426e-32  -6.5603301099e-32  3.5111344086e-40  8.5267148767e-32  -2.2219879411e-40  1.0105579258e-39  -3.3328421535e-48  
0.06743738  2.0655025718e-18  1.9710570539e-08  3.9974498830e-09  4.5798543452e-16  5.7209916505e-09  -8.6363160756e-16  -2.3607453794e-18  -1.9240171935e-23  3.7428905217e-08  -2.9634805521e-16  1.0709237303e-15  -1.1182210779e-23  -1.3541544756e-15  5.1874630834e-24  -3.6728495384e-23  2.4622868904e-31  -6.4253971653e-09  -2.8429786228e-16  -2.5159429897e-16  -5.2710410239e-24  1.3459621761e-16  1.2674589164e-23  6.3199327505e-24  2.3014050048e-31  -8.6162571696e-16  1.1600894833e-23  -2.1676261908e-23  3.1620335814e-31  3.0311697869e-23  -2.9200650173e-31  7.0240981034e-31  -7.4623718079e-39  -5.5608541552e-09  5.9796459403e-16  -4.6764906804e-17  1.3534351738e-23  3.6257117772e-16  -2.3179727735e-23  5.4142146435e-24  -4.8613270333e-31  8.5671857542e-16  -1.6310431816e-24  2.3551295471e-23  -1.2323681054e-31  -2.7226911966e-23  -7.0684539564e-32  -6.9829345357e-31  1.1136681673e-39  -5.1572231863e-17  -9.1199131879e-24  -3.2738230864e-24  -1.7070750681e-31  -1.0729398979e-24  3.4050181538e-31  4.1731856845e-32  5.8120804019e-39  -1.9682517205e-23  1.6383919040e-31  -4.6096102147e-31  4.4005170257e-39  6.0127091873e-31  -2.8404433890e-39  1.2571711947e-38  -7.7925507453e-47  
0.07707129  5.3508091502e-18  2.9634005807e-08  5.8751208626e-09  1.0342542921e-15  8.6154352386e-09  -1.9355585514e-15  4.2266209558e-18  -6.5964790147e-23  5.6059278892e-08  -6.5399120940e-16  2.3932503620e-15  -3.7531328734e-23  -3.0250216608e-15  1.6965987768e-23  -1.2473643785e-22  1.2656936513e-30  -9.7460696317e-09  -6.3646178833e-16  -5.6435678589e-16  -1.8112596310e-23  3.0668585892e-16  4.3175607169e-23  2.1517988386e-23  1.2267822444e-30  -1.9255901891e-15  3.9539659331e-23  -7.3680119728e-23  1.6700243044e-30  1.0310370945e-22  -1.5421372402e-30  3.7098249749e-30  -6.2878779926e-38  -8.0749687983e-09  1.3371429936e-15  -9.8311757755e-17  4.6193117241e-23  7.9827530648e-16  -7.8838613831e-23  1.8189457143e-23  -2.5763613172e-30  1.9312032350e-15  -5.8251169960e-24  8.0570707959e-23  -6.5403423088e-31  -9.3450838239e-23  -3.6658481713e-31  -3.7110740390e-30  9.2719256601e-39  -1.2931988439e-16  -3.0880348136e-23  -1.1552419664e-23  -9.0080096569e-31  -2.9456152434e-24  1.7940103328e-30  2.3875054649e-31  4.9175423423e-38  -6.7366816500e-23  8.8582866279e-31  -2.4464200325e-30  3.7701186610e-38  3.2020342251e-30  -2.4793261199e-38  1.0691685054e-37  -1.1066875609e-45  
0.08670520  1.2356327502e-17  4.2477440126e-08  8.2306763519e-09  2.1228423743e-15  1.2369724049e-08  -3.9433069370e-15  2.7732862784e-17  -1.9480004735e-22  8.0056199880e-08  -1.3119714494e-15  4.8623689571e-15  -1.0851651800e-22  -6.1434321448e-15  4.7745915308e-23  -3.6498934200e-22  5.2788879208e-30  -1.4091557957e-08  -1.2953719004e-15  -1.1508308345e-15  -5.3613568453e-23  6.3489370158e-16  1.2671317247e-22  6.3119685566e-23  5.3079519921e-30  -3.9120272960e-15  1.1610696195e-22  -2.1577181582e-22  7.1607599663e-30  3.0213494412e-22  -6.6118390254e-30  1.5906719889e-29  -4.0150465523e-37  -1.1170040342e-08  2.7183876062e-15  -1.8717803343e-16  1.3583098807e-22  1.5976272860e-15  -2.3102677492e-22  5.2646803622e-23  -1.1084392456e-29  3.9569904123e-15  -1.7881529167e-23  2.3745931219e-22  -2.8180408536e-30  -2.7629165150e-22  -1.5430696383e-30  -1.6010082352e-29  5.8489977698e-38  -2.9114981740e-16  -9.0088079678e-23  -3.5067210655e-23  -3.8591161013e-30  -6.5879324034e-24  7.6738725587e-30  1.1016401726e-30  3.1530027102e-37  -1.9859780290e-22  3.8856822296e-30  -1.0538676360e-29  2.4471556887e-37  1.3839383319e-29  -1.6379592253e-37  6.8891485309e-37  -1.0996617698e-44  
